     Angle,       PSD,
   18.2347,        38,
   18.2449,        40,
    18.255,        34,
   18.2651,        32,
   18.2752,        40,
   18.2853,        34,
   18.2954,        29,
   18.3056,        39,
   18.3157,        29,
   18.3258,        25,
   18.3359,        33,
    18.346,        30,
   18.3562,        22,
   18.3663,        29,
   18.3764,        22,
   18.3865,        28,
   18.3966,        25,
   18.4068,        23,
   18.4169,        32,
    18.427,        28,
   18.4371,        29,
   18.4472,        28,
   18.4573,        18,
   18.4675,        37,
   18.4776,        36,
   18.4877,        33,
   18.4978,        28,
   18.5079,        31,
   18.5181,        32,
   18.5282,        32,
   18.5383,        28,
   18.5484,        22,
   18.5585,        29,
   18.5686,        25,
   18.5788,        16,
   18.5889,        35,
    18.599,        37,
   18.6091,        19,
   18.6192,        27,
   18.6294,        25,
   18.6395,        28,
   18.6496,        21,
   18.6597,        31,
   18.6698,        35,
     18.68,        41,
   18.6901,        19,
   18.7002,        16,
   18.7103,        27,
   18.7204,        27,
   18.7305,        39,
   18.7407,        39,
   18.7508,        18,
   18.7609,        21,
    18.771,        35,
   18.7811,        20,
   18.7913,        28,
   18.8014,        29,
   18.8115,        13,
   18.8216,        28,
   18.8317,        22,
   18.8419,        21,
    18.852,        31,
   18.8621,        37,
   18.8722,        27,
   18.8823,        27,
   18.8924,        31,
   18.9026,        26,
   18.9127,        32,
   18.9228,        34,
   18.9329,        22,
    18.943,        31,
   18.9532,        20,
   18.9633,        29,
   18.9734,        34,
   18.9835,        18,
   18.9936,        30,
   19.0037,        24,
   19.0139,        25,
    19.024,        35,
   19.0341,        33,
   19.0442,        24,
   19.0543,        27,
   19.0645,        32,
   19.0746,        40,
   19.0847,        36,
   19.0948,        29,
   19.1049,        26,
   19.1151,        29,
   19.1252,        22,
   19.1353,        26,
   19.1454,        28,
   19.1555,        27,
   19.1656,        23,
   19.1758,        34,
   19.1859,        26,
    19.196,        25,
   19.2061,        30,
   19.2162,        24,
   19.2264,        34,
   19.2365,        36,
   19.2466,        28,
   19.2567,        34,
   19.2668,        31,
   19.2769,        30,
   19.2871,        31,
   19.2972,        38,
   19.3073,        33,
   19.3174,        30,
   19.3275,        32,
   19.3377,        36,
   19.3478,        28,
   19.3579,        30,
    19.368,        28,
   19.3781,        29,
   19.3883,        26,
   19.3984,        24,
   19.4085,        37,
   19.4186,        39,
   19.4287,        30,
   19.4388,        40,
    19.449,        41,
   19.4591,        32,
   19.4692,        17,
   19.4793,        31,
   19.4894,        23,
   19.4996,        26,
   19.5097,        31,
   19.5198,        31,
   19.5299,        20,
     19.54,        22,
   19.5502,        35,
   19.5603,        39,
   19.5704,        21,
   19.5805,        20,
   19.5906,        25,
   19.6007,        38,
   19.6109,        17,
    19.621,        25,
   19.6311,        35,
   19.6412,        22,
   19.6513,        47,
   19.6615,        28,
   19.6716,        25,
   19.6817,        27,
   19.6918,        24,
   19.7019,        34,
    19.712,        28,
   19.7222,        39,
   19.7323,        35,
   19.7424,        30,
   19.7525,        33,
   19.7626,        24,
   19.7728,        25,
   19.7829,        28,
    19.793,        27,
   19.8031,        32,
   19.8132,        38,
   19.8234,        32,
   19.8335,        36,
   19.8436,        37,
   19.8537,        33,
   19.8638,        21,
   19.8739,        26,
   19.8841,        25,
   19.8942,        31,
   19.9043,        30,
   19.9144,        25,
   19.9245,        31,
   19.9347,        26,
   19.9448,        28,
   19.9549,        25,
    19.965,        17,
   19.9751,        35,
   19.9852,        24,
   19.9954,        23,
   20.0055,        32,
   20.0156,        29,
   20.0257,        35,
   20.0358,        18,
    20.046,        30,
   20.0561,        26,
   20.0662,        27,
   20.0763,        23,
   20.0864,        14,
   20.0966,        38,
   20.1067,        28,
   20.1168,        26,
   20.1269,        35,
    20.137,        19,
   20.1471,        30,
   20.1573,        23,
   20.1674,        22,
   20.1775,        26,
   20.1876,        36,
   20.1977,        24,
   20.2079,        35,
    20.218,        25,
   20.2281,        29,
   20.2382,        19,
   20.2483,        33,
   20.2585,        31,
   20.2686,        37,
   20.2787,        33,
   20.2888,        24,
   20.2989,        18,
    20.309,        27,
   20.3192,        29,
   20.3293,        36,
   20.3394,        28,
   20.3495,        24,
   20.3596,        23,
   20.3698,        29,
   20.3799,        30,
     20.39,        31,
   20.4001,        25,
   20.4102,        36,
   20.4203,        31,
   20.4305,        41,
   20.4406,        33,
   20.4507,        22,
   20.4608,        29,
   20.4709,        24,
   20.4811,        30,
   20.4912,        33,
   20.5013,        32,
   20.5114,        31,
   20.5215,        34,
   20.5317,        29,
   20.5418,        31,
   20.5519,        22,
    20.562,        32,
   20.5721,        30,
   20.5822,        33,
   20.5924,        26,
   20.6025,        26,
   20.6126,        12,
   20.6227,        35,
   20.6328,        30,
    20.643,        30,
   20.6531,        40,
   20.6632,        35,
   20.6733,        36,
   20.6834,        26,
   20.6936,        21,
   20.7037,        27,
   20.7138,        24,
   20.7239,        20,
    20.734,        21,
   20.7441,        30,
   20.7543,        40,
   20.7644,        33,
   20.7745,        29,
   20.7846,        25,
   20.7947,        33,
   20.8049,        19,
    20.815,        24,
   20.8251,        34,
   20.8352,        34,
   20.8453,        49,
   20.8554,        30,
   20.8656,        26,
   20.8757,        30,
   20.8858,        23,
   20.8959,        26,
    20.906,        27,
   20.9162,        17,
   20.9263,        32,
   20.9364,        27,
   20.9465,        32,
   20.9566,        23,
   20.9668,        38,
   20.9769,        29,
    20.987,        33,
   20.9971,        24,
   21.0072,        24,
   21.0173,        22,
   21.0275,        34,
   21.0376,        36,
   21.0477,        26,
   21.0578,        22,
   21.0679,        16,
   21.0781,        32,
   21.0882,        42,
   21.0983,        22,
   21.1084,        38,
   21.1185,        28,
   21.1286,        21,
   21.1388,        51,
   21.1489,        25,
    21.159,        25,
   21.1691,        32,
   21.1792,        24,
   21.1894,        20,
   21.1995,        19,
   21.2096,        41,
   21.2197,        29,
   21.2298,        29,
     21.24,        28,
   21.2501,        29,
   21.2602,        36,
   21.2703,        28,
   21.2804,        22,
   21.2905,        33,
   21.3007,        20,
   21.3108,        31,
   21.3209,        30,
    21.331,        36,
   21.3411,        33,
   21.3513,        30,
   21.3614,        29,
   21.3715,        23,
   21.3816,        36,
   21.3917,        33,
   21.4019,        30,
    21.412,        24,
   21.4221,        29,
   21.4322,        37,
   21.4423,        37,
   21.4524,        26,
   21.4626,        21,
   21.4727,        32,
   21.4828,        27,
   21.4929,        27,
    21.503,        33,
   21.5132,        23,
   21.5233,        26,
   21.5334,        22,
   21.5435,        34,
   21.5536,        21,
   21.5637,        23,
   21.5739,        40,
    21.584,        20,
   21.5941,        29,
   21.6042,        23,
   21.6143,        23,
   21.6245,        23,
   21.6346,        20,
   21.6447,        36,
   21.6548,        45,
   21.6649,        30,
   21.6751,        27,
   21.6852,        47,
   21.6953,        26,
   21.7054,        34,
   21.7155,        44,
   21.7256,        37,
   21.7358,        40,
   21.7459,        33,
    21.756,        39,
   21.7661,        41,
   21.7762,        44,
   21.7864,        30,
   21.7965,        28,
   21.8066,        29,
   21.8167,        26,
   21.8268,        27,
   21.8369,        40,
   21.8471,        30,
   21.8572,        33,
   21.8673,        30,
   21.8774,        26,
   21.8875,        34,
   21.8977,        29,
   21.9078,        32,
   21.9179,        25,
    21.928,        31,
   21.9381,        20,
   21.9483,        27,
   21.9584,        35,
   21.9685,        26,
   21.9786,        32,
   21.9887,        34,
   21.9988,        28,
    22.009,        28,
   22.0191,        23,
   22.0292,        38,
   22.0393,        27,
   22.0494,        30,
   22.0596,        19,
   22.0697,        37,
   22.0798,        41,
   22.0899,        26,
      22.1,        35,
   22.1102,        32,
   22.1203,        27,
   22.1304,        28,
   22.1405,        30,
   22.1506,        20,
   22.1607,        27,
   22.1709,        21,
    22.181,        32,
   22.1911,        30,
   22.2012,        29,
   22.2113,        41,
   22.2215,        23,
   22.2316,        25,
   22.2417,        29,
   22.2518,        26,
   22.2619,        44,
    22.272,        24,
   22.2822,        26,
   22.2923,        26,
   22.3024,        43,
   22.3125,        31,
   22.3226,        36,
   22.3328,        42,
   22.3429,        29,
    22.353,        44,
   22.3631,        40,
   22.3732,        25,
   22.3834,        41,
   22.3935,        32,
